History
Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Gain
20.12.2022 06:45:00,20.12.2022 06:56:46,AUDCAD,Buy,0.05,0.80926,0.91029,0.90925,0.91029,10.4,3.67,00:00:11:46,0.36%
20.12.2022 02:15:02,20.12.2022 05:04:26,NZDCAD,Buy,0.05,0.76727,0.86831,0.86727,0.86833,10.6,3.76,00:02:49:24,0.37%
20.12.2022 00:30:18,20.12.2022 05:03:11,AUDCAD,Buy,0.05,0.81459,0.91563,0.91459,0.91569,11.0,3.90,00:04:32:53,0.39%
19.12.2022 14:30:00,19.12.2022 14:49:27,NZDCAD,Buy,0.05,0.76915,0.87019,0.86915,0.87019,10.4,3.68,00:00:19:27,0.37%
18.12.2022 12:25:27,,,Withdrawal,0,0.00000,0.00000,0.00000,0.00000,0.0,-57.24,00:00:00:00,-
15.12.2022 17:15:00,16.12.2022 04:41:53,AUDCAD,Buy,0.05,0.81593,0.91698,0.91589,0.91699,11.0,3.75,00:11:26:53,0.36%
15.12.2022 09:45:00,15.12.2022 15:00:03,AUDCAD,Buy,0.05,0.82483,0.92040,0.92483,0.92041,-44.2,-16.39,00:05:15:03,-1.56%
15.12.2022 11:00:00,15.12.2022 15:00:03,AUDCAD,Buy,0.05,0.82483,0.92040,0.92100,0.92041,-5.9,-2.31,00:04:00:03,-0.22%
15.12.2022 13:00:00,15.12.2022 15:00:03,AUDCAD,Buy,0.10,0.82483,0.92040,0.91731,0.92041,31.0,22.52,00:02:00:03,2.18%
15.12.2022 10:15:17,15.12.2022 14:54:48,NZDCAD,Buy,0.05,0.77124,0.86737,0.87127,0.86738,-38.9,-14.44,00:04:39:31,-1.38%
15.12.2022 11:00:16,15.12.2022 14:54:48,NZDCAD,Buy,0.05,0.77124,0.86737,0.86787,0.86738,-4.9,-1.93,00:03:54:32,-0.19%
15.12.2022 12:45:00,15.12.2022 14:54:48,NZDCAD,Buy,0.10,0.77124,0.86737,0.86459,0.86738,27.9,20.27,00:02:09:48,1.97%
13.12.2022 15:45:00,13.12.2022 17:48:30,AUDCAD,Sell,0.05,0.00000,0.93059,0.92940,0.93059,-11.9,-4.53,00:02:03:30,-0.43%
13.12.2022 16:45:00,13.12.2022 17:48:30,AUDCAD,Sell,0.05,0.00000,0.93059,0.93287,0.93059,22.8,8.28,00:01:03:30,0.80%
13.12.2022 15:45:16,13.12.2022 17:29:57,NZDCAD,Sell,0.05,0.00000,0.87869,0.87704,0.87869,-16.5,-6.22,00:01:44:41,-0.60%
13.12.2022 16:45:16,13.12.2022 17:29:57,NZDCAD,Sell,0.05,0.00000,0.87869,0.88142,0.87869,27.3,9.94,00:00:44:41,0.96%
13.12.2022 10:15:01,13.12.2022 10:27:42,AUDCAD,Sell,0.05,0.00000,0.92248,0.92353,0.92245,10.8,3.82,00:00:12:41,0.37%
12.12.2022 18:15:16,13.12.2022 05:05:33,NZDCAD,Buy,0.05,0.00000,0.87196,0.87089,0.87157,6.8,2.25,00:10:50:17,0.22%
12.12.2022 18:15:00,13.12.2022 04:35:02,AUDCAD,Buy,0.05,0.00000,0.92178,0.92069,0.92178,10.9,3.72,00:10:20:02,0.36%
12.12.2022 11:45:00,12.12.2022 13:58:02,NZDCAD,Sell,0.05,0.00000,0.87468,0.87572,0.87463,10.9,3.86,00:02:13:02,0.38%
12.12.2022 12:00:01,12.12.2022 12:28:08,AUDCAD,Sell,0.05,0.00000,0.92686,0.92791,0.92685,10.6,3.73,00:00:28:07,0.37%
09.12.2022 18:00:00,12.12.2022 02:10:11,AUDCAD,Sell,0.05,0.00000,0.92525,0.92632,0.92524,10.8,3.74,02:08:10:11,0.37%
09.12.2022 18:45:00,12.12.2022 01:51:56,NZDCAD,Sell,0.05,0.00000,0.87325,0.87432,0.87325,10.7,3.67,02:07:06:56,0.36%
11.12.2022 07:23:22,,,Withdrawal,0,0.00000,0.00000,0.00000,0.00000,0.0,-43.68,00:00:00:00,-
09.12.2022 13:45:00,09.12.2022 15:30:07,AUDCAD,Sell,0.05,0.00000,0.92286,0.92391,0.92279,11.2,3.96,00:01:45:07,0.38%
09.12.2022 13:45:16,09.12.2022 15:30:07,NZDCAD,Sell,0.05,0.00000,0.87069,0.87173,0.87034,13.9,4.96,00:01:44:51,0.47%
09.12.2022 03:30:01,09.12.2022 09:15:01,AUDCAD,Sell,0.05,0.00000,0.92124,0.92229,0.92124,10.5,3.72,00:05:45:00,0.36%
09.12.2022 07:15:00,09.12.2022 07:59:10,NZDCAD,Sell,0.05,0.00000,0.86977,0.87081,0.86976,10.5,3.73,00:00:44:10,0.36%
09.12.2022 03:45:01,09.12.2022 04:10:18,NZDCAD,Sell,0.05,0.00000,0.86844,0.86948,0.86844,10.4,3.70,00:00:25:17,0.36%
08.12.2022 13:30:02,08.12.2022 22:51:03,NZDCAD,Buy,0.05,0.00000,0.86708,0.86604,0.86708,10.4,3.69,00:09:21:01,0.36%
07.12.2022 11:00:00,08.12.2022 15:02:51,NZDCAD,Sell,0.02,0.00000,0.86370,0.86596,0.86496,10.0,1.29,01:04:02:51,0.12%
07.12.2022 16:00:00,07.12.2022 17:00:01,NZDCAD,Sell,0.05,0.00000,0.86771,0.86875,0.86754,12.1,4.31,00:01:00:01,0.42%
07.12.2022 15:00:00,07.12.2022 15:29:24,NZDCAD,Sell,0.05,0.00000,0.86714,0.86819,0.86714,10.5,3.72,00:00:29:24,0.36%
07.12.2022 12:15:01,07.12.2022 13:48:49,NZDCAD,Sell,0.05,0.00000,0.86568,0.86672,0.86567,10.5,3.71,00:01:33:48,0.36%
07.12.2022 11:00:00,07.12.2022 11:32:28,NZDCAD,Sell,0.05,0.00000,0.86491,0.86595,0.86490,10.5,3.70,00:00:32:28,0.36%
06.12.2022 15:00:00,07.12.2022 02:36:54,NZDCAD,Sell,0.02,0.00000,0.85792,0.86435,0.86266,16.9,2.38,00:11:36:54,0.23%
06.12.2022 06:30:02,06.12.2022 07:30:20,AUDCAD,Sell,0.05,0.00000,0.91435,0.91539,0.91435,10.4,3.69,00:01:00:18,0.37%
06.12.2022 02:30:00,06.12.2022 06:04:01,NZDCAD,Sell,0.05,0.00000,0.85953,0.86057,0.85966,9.1,3.22,00:03:34:01,0.32%
05.12.2022 16:45:01,05.12.2022 17:49:08,AUDCAD,Buy,0.05,0.00000,0.91233,0.91128,0.91233,10.5,3.75,00:01:04:07,0.37%
05.12.2022 03:30:00,05.12.2022 09:59:17,NZDCAD,Sell,0.02,0.00000,0.85728,0.86295,0.86046,24.9,3.66,00:06:29:17,0.37%
03.12.2022 21:25:31,,,Withdrawal,0,0.00000,0.00000,0.00000,0.00000,0.0,-59.86,00:00:00:00,-
02.12.2022 09:15:00,02.12.2022 16:20:54,NZDCAD,Sell,0.04,0.00000,0.85071,0.85880,0.85532,34.8,10.23,00:07:05:54,0.97%
02.12.2022 08:30:03,02.12.2022 16:20:50,NZDCAD,Sell,0.02,0.00000,0.85106,0.85842,0.85519,32.3,4.75,00:07:50:47,0.45%
01.12.2022 14:45:00,02.12.2022 16:20:47,NZDCAD,Sell,0.02,0.00000,0.85189,0.85423,0.85521,-9.8,-1.54,01:01:35:47,-0.15%
01.12.2022 05:30:01,02.12.2022 16:20:42,NZDCAD,Sell,0.02,0.00000,0.85071,0.84884,0.85517,-63.3,-9.49,01:10:50:41,-0.90%
30.11.2022 17:00:52,30.11.2022 17:39:09,AUDCAD,Buy,0.05,0.00000,0.90705,0.90601,0.90705,10.4,3.70,00:00:38:17,0.35%
29.11.2022 10:00:00,30.11.2022 17:00:52,NZDCAD,Sell,0.05,0.00000,0.84027,0.83618,0.84026,-40.8,-15.33,01:07:00:52,-1.46%
29.11.2022 13:00:00,30.11.2022 17:00:52,NZDCAD,Sell,0.05,0.00000,0.84027,0.83965,0.84026,-6.1,-2.48,01:04:00:52,-0.24%
29.11.2022 17:15:00,30.11.2022 17:00:52,NZDCAD,Sell,0.10,0.00000,0.84027,0.84325,0.84026,29.9,21.66,00:23:45:52,2.10%
29.11.2022 05:30:01,29.11.2022 05:36:37,NZDCAD,Sell,0.05,0.00000,0.83387,0.83491,0.83421,7.0,2.49,00:00:06:36,0.24%
28.11.2022 19:15:00,29.11.2022 05:15:56,NZDCAD,Buy,0.05,0.00000,0.83391,0.83284,0.83391,10.7,3.75,00:10:00:56,0.36%
28.11.2022 11:00:00,28.11.2022 12:49:27,NZDCAD,Sell,0.05,0.00000,0.83621,0.83725,0.83695,3.0,1.00,00:01:49:27,0.10%
28.11.2022 04:02:07,28.11.2022 04:30:18,AUDCAD,Buy,0.05,0.00000,0.89937,0.89833,0.89894,6.1,2.13,00:00:28:11,0.21%
23.11.2022 14:30:00,28.11.2022 03:13:13,AUDCAD,Sell,0.05,0.00000,0.89955,0.89209,0.89953,-74.4,-28.20,04:12:43:13,-2.72%
23.11.2022 17:00:00,28.11.2022 03:13:13,AUDCAD,Sell,0.05,0.00000,0.89955,0.89609,0.89953,-34.4,-13.30,04:10:13:13,-1.32%
23.11.2022 18:00:00,28.11.2022 03:13:13,AUDCAD,Sell,0.10,0.00000,0.89955,0.89947,0.89953,-0.6,-1.47,04:09:13:13,-0.15%
24.11.2022 16:30:00,28.11.2022 03:13:13,AUDCAD,Sell,0.20,0.00000,0.89955,0.90275,0.89953,32.2,46.83,03:10:43:13,4.72%
24.11.2022 16:30:01,25.11.2022 13:07:08,AUDCAD,Sell,0.01,0.00000,0.89932,0.90267,0.90006,26.1,1.92,00:20:37:07,0.19%
